繁體	简体	拼音	備注
資	资	tsi1	
姿	姿	tsi1	
諮	咨	tsi1	
之	之	tsi1	
芝	芝	tsi1	
茲	兹	tsi1	
滋	滋	tsi1	
雌	雌	tsi1	
疵	疵	tsi1	吹毛求～
梔	栀	tsi1	～子花
輜	辎	tsi1	〜重
肢	肢	tsi1	
紙	纸	tsi3	
此	此	tsi3	
姊	姊	tsi3	
旨	旨	tsi3	
指	指	tsi3	
脂	脂	tsi3	
紫	紫	tsi3	
齒	齿	tsi3	
趾	趾	tsi3	
梓	梓	tsi3	
止	止	tsi3	
址	址	tsi3	
子	子	tsi3	
恥	耻	tsi3	
耻	耻	tsi3	
滓	滓	tsi3	
只	只	tsi3	〜有
祇	只	tsi3	〜有
侈	侈	tsi3	奢〜
至	至	tsi4	
次	次	tsi4	
翅	翅	tsi4	
刺	刺	tsi4	
志	志	tsi4	
痣	痣	tsi4	
師	师	si1	
獅	狮	si1	
斯	斯	si1	
撕	撕	si1	
廝	厮	si1	
施	施	si1	
私	私	si1	
絲	丝	si1	
詩	诗	si1	
思	思	si1	
司	司	si1	
尸	尸	si1	
屍	尸	si1	
死	死	si3	
屎	屎	si3	
矢	矢	si3	
豕	豕	si3	
使	使	si3	
駛	驶	si3	
始	始	si3	
史	史	si3	
四	四	si4	
肆	肆	si4	
賜	赐	si4	
試	试	si4	
時	时	zi2	
鰣	鲥	zi2	
辭	辞	zi2	
飼	饲	zi2	
詞	词	zi2	
祠	祠	zi2	
嗣	嗣	zi2	
慈	慈	zi2	
磁	磁	zi2	〜石
餈	糍	zi2	〜巴
瓷	瓷	zi2	〜器
自	自	zi5	
示	示	zi5	
嗜	嗜	zi5	
是	是	zi5	
視	视	zi5	
氏	氏	zi5	
似	似	zi5	
伺	伺	zi5	
侍	侍	zi5	
恃	恃	zi5	
字	字	zi5	
市	市	zi5	
痔	痔	zi5	
寺	寺	zi5	
柿	柿	zi5	
士	士	zi5	
仕	仕	zi5	
俟	俟	zi5	
事	事	zi5	
豉	豉	zi5	豆〜
匙	匙	zi5	湯〜；鑰〜
牸	牸	zi5	牝牛
巳	巳	zi5	辰～
祀	祀	zi5	祭〜
悲	悲	pe1	
北	北	pe1	
百	百	pe1	
伯	伯	pe1	
陌	陌	pe1	〜生
檗	檗	pe1	黃〜，藥名
魄	魄	phe1	
迫	迫	phe1	
拍	拍	phe1	
勃	勃	be2	
物	物	be2	
白	白	be2	
帛	帛	be2	
末	末	me2	
抹	抹	me2	
沫	沫	me2	
墨	墨	me2	
默	默	me2	
脈	脉	me2	
脉	脉	me2	
麥	麦	me2	
沒	没	me2	沉〜；有〜
没	没	me2	沉〜；有〜
佛	佛	fe1	仿～
彿	佛	fe1	彷～
得	得	te2	
德	德	te2	
特	特	de2	
肋	肋	le2	
勒	勒	le2	
責	责	tse1	
窄	窄	tse1	
摘	摘	tse1	
則	则	tse1	
側	侧	tse1	
廁	厕	tse1	〜所
測	测	tshe1	
策	策	tshe1	
冊	册	tshe1	
㿭	㿭	tshe1	
拆	拆	tshe1	〜開
澀	涩	se1	
蝨	虱	se1	
虱	虱	se1	
瑟	瑟	se1	
寒	寒	se1	
色	色	se1	
嗇	啬	se1	吝〜
賊	贼	ze2	
澤	泽	ze2	
擇	择	ze2	選〜
宅	宅	ze2	
隔	隔	ke1	
格	格	ke1	
革	革	ke1	
胳	胳	ke1	〜臂
克	克	khe1	
客	客	khe1	
咳	咳	khe1	～嗽
刻	刻	khe1	雕〜；時～
扼	扼	nge1	
軛	轭	nge1	
額	额	nge2	
黑	黑	he1	
赫	赫	he1	
嚇	吓	he1	恐〜；～一跳
恆	恒	ghe2	
覈	核	ghe2	審～
核	核	ghe2	果子〜
兒	儿	e2	
而	而	e2	
爾	尔	e3	
耳	耳	e3	
餌	饵	e3	
八	八	pa1	
巴	巴	pa1	
症	症	pa1	
色	色	pa1	
爸	爸	pa1	
杷	杷	pa1	枇～
琶	琶	pa1	琵～
把	把	pa3	～握；～守；一～
霸	霸	pa4	
把	把	pa4	～柄
壩	坝	pa4	堤～
怕	怕	pha4	
帕	帕	pha4	
乏	乏	ba2	
拔	拔	ba2	
罰	罚	ba2	
襪	袜	ba2	
伐	伐	ba2	
筏	筏	ba2	
爬	爬	ba2	
鈀	钯	ba2	〜子
耙	耙	ba2	犁～；～地
劃	划	ba2	〜船
罷	罢	ba5	
麻	麻	ma2	
麻	麻	ma2	
抹	抹	ma2	〜布
馬	马	ma3	
碼	码	ma3	～子
媽	妈	ma5	
罵	骂	ma5	
泛	泛	fa4	
答	答	ta1	
搭	搭	ta1	
打	打	ta3	
他	他	tha1	
塌	塌	tha1	
榻	榻	tha1	
搨	搨	tha1	〜本
踏	踏	tha1	
獺	獭	tha1	水〜
溻	溻	tha1	汗～溼了
達	达	da2	
大	大	da5	～小；〜夫；～黃，藥名
拿	拿	na2	
納	纳	na2	
哪	哪	na3	～個？
那	那	na5	
拉	拉	la1	
捺	捺	la1	撇〜
蠟	蜡	la5	
臘	腊	la5	
辣	辣	la5	
瘌	瘌	la5	
鑞	镴	la5	錫〜
渣	渣	tsa1	
閘	闸	tsa1	
軋	轧	tsa1	
扎	扎	tsa1	用針〜
鍘	铡	tsa1	〜刀
扎	扎	tsa3	
眨	眨	tsa3	〜眼
乍	乍	tsa4	
詐	诈	tsa4	
榨	榨	tsa4	～油
炸	炸	tsa4	〜彈
柞	柞	tsa4	〜橡樹
插	插	tsha1	
察	察	tsha1	
擦	擦	tsha1	
差	差	tsha1	
參	参	tsha1	〜；〜別；〜不多
叉	叉	tsha4	
杈	杈	tsha4	枝〜
岔	岔	tsha4	三～路
沙	沙	sa1	
紗	纱	sa1	
杉	杉	sa1	
殺	杀	sa1	
薩	萨	sa1	
柵	栅	sa1	〜欄
莎	莎	sa1	〜草
傻	傻	sa3	
撒	撒	sa3	～手；〜種
炸	炸	za1	用油～
煠	炸	za1	用油～
雜	杂	za2	
茶	茶	za2	
查	查	za2	調〜；山〜
茬	茬	za2	麥〜；～搭
搽	搽	za5	
裌	裌	ka1	〜衣
恰	恰	kha1	
掐	掐	kha1	
波	波	po1	
菠	菠	po1	〜菜
玻	玻	po1	〜璃
潑	泼	po1	
鉢	钵	po1	
撥	拨	po1	
鈸	钹	po1	
博	博	po1	
駁	驳	po1	
剝	剥	po1	
跛	跛	po3	～足
簸	簸	po4	～一～；～箕
坡	坡	pho1	
泊	泊	pho1	梁山～
頗	颇	pho4	
破	破	pho4	
泊	泊	bo2	停～
縛	缚	bo2	
婆	婆	bo2	
薄	薄	bo2	～荷；單～
魔	魔	mo1	
摩	摩	mo1	
莫	莫	mo2	
摸	摸	mo2	
寞	寞	mo2	
膜	膜	mo2	
饃	馍	mo2	
蟆	蟆	mo2	蛤～
模	模	mo2	～範；〜子
磨	磨	mo2	〜刀
摹	摹	mo3	〜仿
磨	磨	mo5	〜面，石〜
多	多	to1	
朵	朵	to3	
躲	躲	to3	
垛	垛	to3	柴～
剁	剁	to4	
拖	拖	tho1	
脫	脱	tho1	
託	托	tho1	囑～
托	托	tho1	用手～起
妥	妥	tho3	
唾	唾	tho3	～液；～沫
橢	椭	tho3	〜圓
駝	驼	do1	
奪	夺	do1	
鐸	铎	do1	
馱	驮	do1	～起來；〜子
舵	舵	do2	
惰	惰	do2	
挪	挪	no2	
諾	诺	no2	
糯	糯	no5	～米
羅	罗	lo2	姓
囉	罗	lo2	〜唆
鑼	锣	lo2	
籮	箩	lo2	
螺	螺	lo2	
瘰	瘰	lo2	
騾	骡	lo2	
路	路	lo2	
烙	烙	lo2	
酪	酪	lo2	
絡	络	lo2	
洛	洛	lo2	
落	落	lo2	
樂	乐	lo2	快～
裹	裹	lo3	
卵	卵	lo3	
裸	裸	lo3	〜體
琢	琢	tso1	
琢	琢	tso1	
涿	涿	tso1	〜縣
卓	卓	tso1	
桌	桌	tso1	
綽	绰	tso1	寬〜
捉	捉	tso1	
作	作	tso1	～坊；工～
左	左	tso3	
佐	佐	tso3	
做	做	tso4	
搓	搓	tsho1	
戳	戳	tsho1	
撮	撮	tsho1	
錯	错	tsho4	～誤；～雜
銼	锉	tsho4	
莝	莝	tsho4	～草
朔	朔	so1	
蓑	蓑	so1	
索	索	so1	繩〜
唆	唆	so1	
梭	梭	so1	織布～
率	率	so1	～領
蟀	蟀	so1	
所	所	so3	
鎖	锁	so3	
瑣	琐	so3	〜碎
昨	昨	zo2	
鑿	凿	zo2	
濁	浊	zo2	
鐲	镯	zo2	〜子
坐	坐	zo5	
座	座	zo5	
矬	矬	zo5	
歌	歌	ko1	
鍋	锅	ko1	
戈	戈	ko1	
割	割	ko1	
葛	葛	ko1	
各	各	ko1	
閣	阁	ko1	
擱	搁	ko1	
郭	郭	ko1	
廓	廓	ko1	
合	合	ko1	十〜一升
蛤	蛤	ko1	～蜊
鴿	鸽	ko1	
虢	虢	ko1	虞～
果	果	ko3	
餜	馃	ko3	
過	过	ko4	
個	个	ko4	～人，一～
科	科	kho1	
殼	壳	kho1	
礙	礙	kho1	
渴	渴	kho1	
闊	阔	kho1	
郝	郝	kho1	
姓	姓	kho1	
擴	扩	kho1	～充
可	可	kho3	
顆	颗	kho3	一～珠
課	课	kho4	
鵝	鹅	ngo2	
蛾	蛾	ngo2	
俄	俄	ngo2	
訛	讹	ngo2	
鄂	鄂	ngo2	
我	我	ngo3	
餓	饿	ngo5	
臥	卧	ngo5	
窠	窠	ho1	
棵	棵	ho1	
喝	喝	ho1	～酒；吆〜
蠚	蠚	ho1	蜂〜人
霍	霍	ho1	
藿	藿	ho1	〜香
鶴	鹤	ho1	
火	火	ho3	
夥	伙	ho3	
貨	货	ho4	
禾	禾	gho2	
和	和	gho2	〜氣
何	何	gho2	
河	河	gho2	
荷	荷	gho2	～花；薄～；負～；～槍
合	合	gho2	
盒	盒	gho2	煙〜
和	和	gho5	～面
禍	祸	gho5	
賀	贺	gho5	
杯	杯	pei1	
卑	卑	pei1	
碑	碑	pei1	
貝	贝	pei2	
輩	辈	pei2	
背	背	pei2	〜上；～誦
胚	胚	phei1	〜胎
坯	坯	phei1	土〜
配	配	phei4	
佩	佩	phei4	
轡	辔	phei4	
陪	陪	bei2	
賠	赔	bei2	
培	培	bei2	
裴	裴	bei2	
倍	倍	bei5	
焙	焙	bei5	～乾
鐾	鐾	bei5	〜刀布
梅	梅	mei2	
黴	霉	mei2	
煤	煤	mei2	
媒	媒	mei2	
枚	枚	mei2	
每	每	mei3	
美	美	mei3	
昧	昧	mei5	
妹	妹	mei5	
寐	寐	mei5	
痱	痱	fei1	〜子
妃	妃	fei4	
毀	毁	fei4	
麾	麾	fei4	
腿	腿	thei3	
褪	褪	thei4	把袖套〜下來
雷	雷	lei2	
屢	屡	lei3	
壘	垒	lei3	
儡	儡	lei3	傀〜
累	累	lei3	連〜
纍	累	lei3	連〜
內	内	lei5	
類	类	lei5	
淚	泪	lei5	
累	累	lei5	極睏
芮	芮	lei5	姓
擺	摆	pai3	
拜	拜	pai4	
派	派	phai4	
牌	牌	bai2	
排	排	bai2	〜隊
敗	败	bai5	
稗	稗	bai5	
埋	埋	mai2	
買	买	mai3	
賣	卖	mai5	
邁	迈	mai5	
呆	呆	tai1	
戴	戴	tai4	
帶	带	tai4	
台	台	thai1	天～；～州
胎	胎	thai1	
太	太	thai4	
態	态	thai4	
泰	泰	thai4	
臺	台	dai2	平〜
擡	抬	dai2	
苔	苔	dai2	青〜；舌〜
怠	怠	dai5	
殆	殆	dai5	
代	代	dai5	
貸	贷	dai5	
袋	袋	dai5	
待	待	dai5	
乃	乃	nai1	
奶	奶	nai1	
耐	耐	nai5	
奈	奈	nai5	
礙	碍	nai5	
來	来	lai2	
賴	赖	lai5	
癩	癞	lai5	
災	灾	tsai1	
齋	斋	tsai1	
栽	栽	tsai1	
宰	宰	tsai3	
再	再	tsai4	
債	债	tsai4	
載	载	tsai4	～重；三年兩〜；滿〜
猜	猜	tshai1	
釵	钗	tshai1	
差	差	tshai1	出〜
採	采	tshai3	
睬	睬	tshai3	
彩	彩	tshai3	
蔡	蔡	tshai4	
菜	菜	tshai4	
腮	腮	sai1	
鰓	鳃	sai1	
篩	筛	sai1	〜子
賽	赛	sai4	
曬	晒	sai4	
裁	裁	zai2	
柴	柴	zai2	
材	材	zai2	
財	财	zai2	
犲	犲	zai2	
纔	才	zai2	剛〜
才	才	zai2	～能
在	在	zai5	
寨	寨	zai5	
該	该	kai1	
街	街	kai1	
皆	皆	kai1	
階	阶	kai1	
秸	秸	kai1	麥〜
改	改	kai3	
解	解	kai3	講～；〜開
屆	届	kai4	
戒	戒	kai4	
蓋	盖	kai4	
界	界	kai4	
介	介	kai4	
疥	疥	kai4	
芥	芥	kai4	
尬	尬	kai4	尷～
丐	丐	kai4	乞～
械	械	kai5	
開	开	khai1	
楷	楷	khai3	
凱	凯	khai3	
溉	溉	khai4	
概	概	khai4	
揩	揩	khai4	
慨	慨	khai4	感～；慷〜
哀	哀	ngai1	
挨	挨	ngai1	
呆	呆	ngai2	
碨	碨	ngai2	磨，研
矮	矮	ngai3	
藹	蔼	ngai3	和～
隘	隘	ngai5	
愛	爱	ngai5	
艾	艾	ngai5	
海	海	hai3	
蟹	蟹	hai3	
駭	骇	hai3	驚～
懈	懈	hai5	
鞋	鞋	ghai2	
諧	谐	ghai2	
孩	孩	ghai2	
還	还	ghai2	～有
害	害	ghai5	
亥	亥	ghai5	
二	二	ai5	
貳	贰	ai5	～心
包	包	pao1	
胞	胞	pao1	
鮑	鲍	pao1	姓；〜魚
狍	狍	pao1	～子
飽	饱	pao3	
寶	宝	pao3	
保	保	pao3	
堡	堡	pao3	
褒	褒	pao3	〜獎
報	报	pao4	
豹	豹	pao4	
拋	抛	phao1	
泡	泡	phao1	
跑	跑	phao3	
爆	爆	phao4	
雹	雹	phao4	
炮	炮	phao4	槍〜
泡	泡	phao4	浸〜
袍	袍	bao2	
暴	暴	bao5	
抱	抱	bao5	
鉋	鉋	bao5	
刨	刨	bao5	～地
菢	菢	bao5	～小雞
貓	猫	mao1	
茅	茅	mao2	
錨	锚	mao2	
毛	毛	mao2	
矛	矛	mao2	
卯	卯	mao3	
貌	貌	mao5	
冒	冒	mao5	
帽	帽	mao5	
刀	刀	tao1	
島	岛	tao3	
禱	祷	tao3	
倒	倒	tao3	〜水；打〜
到	到	tao4	
滔	滔	thao1	
叨	叨	thao1	嘮～
討	讨	thao3	
套	套	thao4	
濤	涛	dao2	
萄	萄	dao2	
陶	陶	dao2	
淘	淘	dao2	～米
掏	掏	dao2	～出來
逃	逃	dao2	
桃	桃	dao2	
導	导	dao5	
盜	盗	dao5	
稻	稻	dao5	
道	道	dao5	
撓	挠	nao2	
鐃	铙	nao2	
腦	脑	nao3	
惱	恼	nao3	
鬧	闹	nao5	
牢	牢	lao2	
勞	劳	lao2	
撈	捞	lao2	
嘮	唠	lao2	
澇	涝	lao2	旱〜
老	老	lao3	
糟	糟	tsao1	
遭	遭	tsao1	
找	找	tsao3	
棗	枣	tsao3	
早	早	tsao3	
澡	澡	tsao3	
蚤	蚤	tsao3	
沼	沼	tsao3	〜氣
爪	爪	tsao3	〜牙
笊	笊	tsao3	～籬
罩	罩	tsao4	
竈	灶	tsao4	
超	超	tshao1	
操	操	tshao1	〜作；～演
抄	抄	tshao1	〜寫
鈔	钞	tshao1	錢〜
草	草	tshao3	
炒	炒	tshao3	
吵	吵	tshao3	
躁	躁	tshao4	
造	造	tshao4	建～
糙	糙	tshao4	～米
騷	骚	sao1	
臊	臊	sao1	〜氣
捎	捎	sao1	～帶
鞘	鞘	sao1	刀～
梢	梢	sao1	樹～
嫂	嫂	sao3	
稍	稍	sao3	
掃	扫	sao3	～地
掃	扫	sao4	～帚
潲	潲	sao4	豬～
巢	巢	zao2	
曹	曹	zao2	
槽	槽	zao2	
皁	皂	zao5	
羔	羔	kao1	
糕	糕	kao1	
高	高	kao1	
膏	膏	kao1	
篙	篙	kao1	進船竿
稿	稿	kao3	
搞	搞	kao3	
犒	犒	kao3	
告	告	kao4	
窖	窖	kao4	
覺	觉	kao4	睡～
敲	敲	khao1	
考	考	khao3	
烤	烤	khao3	
靠	靠	khao4	
熬	熬	ngao2	
咬	咬	ngao3	
襖	袄	ngao5	
傲	傲	ngao5	
奧	奥	ngao5	
坳	坳	ngao5	
懊	懊	ngao5	～悔；〜惱
蒿	蒿	hao1	蓬～
薅	薅	hao1	除田草
好	好	hao3	～壞
孝	孝	hao4	
耗	耗	hao4	
好	好	hao4	喜～
毫	毫	ghao2	
豪	豪	ghao2	
壕	壕	ghao2	
號	号	ghao2	呼～
浩	浩	ghao5	
號	号	ghao5	～數
剖	剖	phou3	
浮	浮	bou2	
謀	谋	mou2	
牡	牡	mou3	
畝	亩	mou3	
某	某	mou3	
茂	茂	mou5	
貿	贸	mou5	
否	否	fou3	
斗	斗	tou3	
抖	抖	tou3	
陡	陡	tou3	
鬥	斗	tou4	〜爭
偷	偷	thou1	
透	透	thou4	
投	投	dou2	
頭	头	dou2	
逗	逗	dou5	
豆	豆	dou5	
樓	楼	lou2	
縷	缕	lou3	絲〜
簍	篓	lou3	
摟	搂	lou3	抱；〜取
耬	耧	lou3	
陋	陋	lou5	
漏	漏	lou5	
鄒	邹	tsou1	
走	走	tsou3	
奏	奏	tsou4	
縐	绉	tsou4	
皺	皱	tsou4	
湊	凑	tshou4	
收	收	sou1	
搜	搜	sou1	
颼	飕	sou1	
饋	馈	sou1	
叟	叟	sou3	
首	首	sou3	
守	守	sou3	
手	手	sou3	
獸	兽	sou4	
瘦	瘦	sou4	
嗽	嗽	sou4	咳〜
愁	愁	zou1	
驟	骤	zou5	
勾	勾	kou1	
鉤	钩	kou1	
溝	沟	kou1	
苟	苟	kou3	
狗	狗	kou3	
構	构	kou4	
購	购	kou4	
夠	够	kou4	
摳	抠	khou1	
瞘	眍	khou1	眼～
口	口	khou3	
寇	寇	khou4	
扣	扣	khou4	～住
叩	叩	khou4	〜頭
歐	欧	ngou1	
甌	瓯	ngou1	
毆	殴	ngou1	
藕	藕	ngou3	
偶	偶	ngou3	配〜
偶	偶	ngou3	～然
嘔	呕	ngou3	～吐
漚	沤	ngou4	久浸水中
慪	怄	ngou4	～氣
吼	吼	hou3	
負	负	hou5	
阜	阜	hou5	
婦	妇	hou5	
喉	喉	ghou2	
猴	猴	ghou2	
侯	侯	ghou2	
厚	厚	ghou5	
候	候	ghou5	
后	后	ghou5	皇～
後	后	ghou5	～來
班	班	pang1	
斑	斑	pang1	
頒	颁	pang1	
般	般	pang1	
搬	搬	pang1	
邦	邦	pang1	
幫	帮	pang1	
扳	扳	pang1	～手
浜	浜	pang1	一條〜
板	板	pang3	
版	版	pang3	
榜	榜	pang3	
鎊	镑	pang3	
綁	绑	pang3	
扮	扮	pang4	
半	半	pang4	
絆	绊	pang4	
攀	攀	phang1	
潘	潘	phang1	
盼	盼	phang4	
判	判	phang4	
叛	叛	phang4	
胖	胖	phang4	
拚	拚	phang4	〜命
襻	襻	phang4	紐～
凡	凡	bang2	
帆	帆	bang2	
盤	盘	bang2	
繁	繁	bang2	
磯	矶	bang2	
煩	烦	bang2	
龐	庞	bang2	
亡	亡	bang2	
忘	忘	bang2	
房	房	bang2	
防	防	bang2	
旁	旁	bang2	
螃	螃	bang2	
傍	傍	bang2	
滂	滂	bang2	〜沱
犯	犯	bang5	
範	范	bang5	
辦	办	bang5	
瓣	瓣	bang5	
拌	拌	bang5	
伴	伴	bang5	
蚌	蚌	bang5	
望	望	bang5	
棒	棒	bang5	
蠻	蛮	mang2	
瞞	瞒	mang2	
茫	茫	mang2	
芒	芒	mang2	
忙	忙	mang2	
盲	盲	mang2	
虻	虻	mang2	牛〜
滿	满	mang3	
莽	莽	mang3	
蟒	蟒	mang3	
妄	妄	mang5	
慢	慢	mang5	
幔	幔	mang5	
漫	漫	mang5	
饅	馒	mang5	〜頭
蔓	蔓	mang5	瓜～子
番	番	fang1	
翻	翻	fang1	
藩	藩	fang1	
販	贩	fang5	
耽	耽	tang1	
單	单	tang1	
姓	姓	tang1	
當	当	tang1	〜時，應～
單	单	tang1	〜獨
丹	丹	tang1	
坍	坍	tang1	～下來
膽	胆	tang3	
誕	诞	tang3	
黨	党	tang3	
撣	掸	tang3	雞毛～子
擋	挡	tang3	阻～
宕	宕	tang3	延～
擔	担	tang4	
挑	挑	tang4	
任	任	tang4	
但	但	tang4	
旦	旦	tang4	
當	当	tang4	～作；典～
貪	贪	thang1	
灘	滩	thang1	
攤	摊	thang1	
湯	汤	thang1	
毯	毯	thang3	
坦	坦	thang3	
躺	躺	thang3	
趟	趟	thang3	一〜
倘	倘	thang3	～使
炭	炭	thang4	
嘆	叹	thang4	
燙	烫	thang4	
探	探	thang4	試～；偵～
痰	痰	dang1	
談	谈	dang1	
潭	潭	dang1	
譚	谭	dang1	
檀	檀	dang1	
彈	弹	dang1	〜琴
壇	坛	dang1	
棠	棠	dang1	
堂	堂	dang1	
螳	螳	dang1	〜螂
唐	唐	dang1	
